X,Y,Code,Suburb,AreaKm2,Population
151.1356077,-33.6039,10310,Berowra Heights,8.0038,5262
151.1201792,-33.60349921,10311,Berowra Waters,0.3767,120
149.9097765,-36.88038382,10312,Berrambool,0.6385,458
150.5489999,-35.20557041,10313,Berrara,0.7574,300
148.4862635,-34.8047301,10314,Berremangra,277.0071,84
151.7979734,-32.08707182,10315,Berrico,82.8832,33
148.8198977,-36.38343683,10316,Berridale,233.5777,1193
150.1110917,-29.96060569,10317,Berrigal,306.237,33
145.8276888,-35.64570342,10318,Berrigan,720.0119,1263
151.1053314,-33.60958831,10319,Berrilee,12.0651,227
150.3310055,-34.46862887,10320,Berrima,54.4268,672
150.5041396,-35.25097894,10321,Berringer Lake,0.9344,28
150.7266307,-34.79240292,10322,Berry,51.6596,2666
147.2465178,-34.70683236,10323,Berry Jerry,185.5891,77
150.6498482,-34.76631452,10324,Berry Mountain,6.5589,23
151.6574404,-32.74378001,10325,Berry Park,8.8105,127
148.0955674,-34.3889953,10326,Berthong,167.2221,45
149.4499044,-32.31686608,10327,Beryl,71.5495,130
147.8416273,-34.756973,10328,Bethungra,301.0452,162
149.0869964,-34.53304717,10329,Bevendale,229.9499,43
151.131782,-33.97812693,10330,Beverley Park,1.0055,2397
151.0802587,-33.94742811,10331,Beverly Hills,2.9825,10154
150.5334531,-35.07886347,10332,Bewong,4.18,78
153.3536798,-28.75591543,10333,Bexhill,19.7813,497
151.1201992,-33.95332044,10334,Bexley,4.3661,19729
151.1146229,-33.94188833,10335,Bexley North,1.2043,4093
149.2605296,-34.59583567,10336,Biala,190.7484,57
149.3131293,-36.81458683,10337,Bibbenluke,53.8004,86
148.7849318,-31.55996146,10338,Biddon,293.8237,97
146.4616918,-35.39435562,10339,Bidgeemia,232.0383,30
150.8221906,-33.73012802,10340,Bidwill (NSW),1.5129,4280
152.6702772,-30.36841094,10341,Bielsdown Hills,28.6855,104
150.0043968,-34.53261007,10342,Big Hill (NSW),186.0723,48
150.6090038,-31.76501635,10343,Big Jacks Creek,90.8421,53
151.2262384,-32.5752144,10344,Big Ridge,2.5331,11
147.4195436,-35.34674756,10345,Big Springs,207.8759,119
149.130217,-34.06300208,10346,Bigga,602.8092,243
153.4670541,-28.22638588,10347,Bilambil,9.5259,418
153.4844394,-28.20988391,10348,Bilambil Heights,8.5136,3365
146.159176,-34.28167252,10349,Bilbul,78.6197,556
151.3282897,-33.64376669,10350,Bilgola Beach,0.3509,244
151.3150062,-33.64449579,10351,Bilgola Plateau,1.3923,3516
148.4543688,-30.63014726,10352,Billeroy,405.9369,42
149.1145296,-36.01940774,10353,Billilingra,64.8181,9
148.618097,-33.6728085,10354,Billimari,64.3923,152
153.5148396,-28.5066083,10355,Billinudgel,8.5486,215
152.5773104,-30.16151338,10356,Billys Creek,80.053,56
149.4404475,-33.28406145,10357,Billywillinga,51.5627,194
150.5495984,-33.44852264,10358,Bilpin,179.912,666
148.7089953,-35.57315776,10359,Bimberi,213.2023,0
147.9438551,-33.99421849,10360,Bimbi,197.3549,116
150.1186557,-35.84208259,10361,Bimbimbie,9.0838,120
148.6609139,-34.67217145,10362,Binalong,281.3129,543
149.3228163,-34.30981936,10363,Binda,377.9327,281
151.8182562,-32.02599821,10364,Bindera,44.8503,30
150.5841591,-29.82610888,10365,Bingara,269.3895,1427
152.7783654,-28.80762468,10366,Bingeebeebra Creek,24.4974,34
150.1436641,-36.01186593,10367,Bingie,10.4539,199
151.6181559,-32.37694782,10368,Bingleburra,68.7338,26
150.1392054,-29.57700328,10369,Biniguy,308.7994,148
149.1046996,-36.17871759,10370,Binjura,23.6493,322
153.4934644,-28.71075212,10371,Binna Burra (NSW),11.3963,218
149.3994806,-31.59362359,10372,Binnaway,476.3226,605
146.339405,-34.14320898,10373,Binya,694.8668,140
151.1824363,-33.85170705,10374,Birchgrove,0.5858,3302
152.3249333,-31.35059564,10375,Birdwood (NSW),80.8376,43
145.1846206,-35.51835207,10376,Birganbigil,92.7051,51
151.6900869,-32.89368498,10377,Birmingham Gardens,0.7865,2374
149.4789742,-32.12364313,10378,Birriwa,77.1758,54
151.0207283,-33.89248515,10379,Birrong,1.1958,3104
151.4688748,-32.74550213,10380,Bishops Bridge,16.2125,249
150.7810955,-31.13570098,10381,Bithramere,70.0013,174
152.6386379,-31.58587197,10382,Black Creek (Port Macquarie-Hastings - NSW),55.3912,50
148.0335052,-35.32867776,10383,Black Creek (Snowy Valleys - NSW),10.98,21
152.5349711,-32.07169851,10384,Black Head,3.0569,853
151.6076884,-32.82109054,10385,Black Hill (NSW),45.713,561
148.8709606,-31.12010611,10386,Black Hollow,145.486,19
151.681439,-30.33094464,10387,Black Mountain (NSW),222.5333,308
149.8443884,-36.73477995,10388,Black Range (NSW),13.3022,202
149.7185727,-33.85712191,10389,Black Springs (NSW),173.6425,224
151.5796035,-32.99894014,10390,Blackalls Park,3.0385,2756
150.8399115,-34.57100713,10391,Blackbutt (NSW),2.5757,3298
150.8154,-33.73828185,10392,Blackett,1.0632,3446
150.2785462,-33.63845231,10393,Blackheath,32.5755,4395
150.064927,-33.33799856,10394,Blackmans Flat,32.9706,26
152.8310019,-31.38958574,10395,Blackmans Point,12.1795,168
151.6534611,-33.07465707,10396,Blacksmiths,1.9463,1843
150.9035607,-33.7740991,10397,Blacktown,16.0571,47172
150.2528005,-31.62996584,10398,Blackville,278.8221,114
151.3332188,-33.50550742,10399,Blackwall (NSW),1.1434,1892
150.8014382,-34.06210394,10400,Blair Athol (NSW),0.9009,2881
150.7925852,-34.05156179,10401,Blairmount,2.9291,421
153.2321898,-28.76771945,10402,Blakebrook,15.6373,150
151.1097556,-33.99025234,10403,Blakehurst,2.3129,6219
149.0438814,-34.642165,10404,Blakney Creek,181.6801,64
147.6340102,-34.01460237,10405,Bland,306.769,43
150.8978628,-31.75410236,10406,Blandford,94.9375,182
150.6167207,-33.74400971,10407,Blaxland (NSW),9.7147,7449
152.7980649,-29.88309125,10408,Blaxlands Creek,107.1058,118
150.7980625,-33.47326087,10409,Blaxlands Ridge,41.2201,503
149.2571856,-33.5431388,10410,Blayney,184.1104,3377
150.7997352,-33.63863404,10411,Bligh Park,2.1151,6360
145.3110475,-35.59936943,10412,Blighty,222.132,138
148.2581756,-35.50276384,10413,Blowering,166.3158,0
151.5002387,-33.35412985,10414,Blue Bay,0.4734,1030
151.5035149,-33.21105619,10415,Blue Haven,2.5246,6377
153.1938935,-28.55014434,10416,Blue Knob,19.8423,221
150.3561879,-33.89650568,10417,Blue Mountains National Park,2350.6572,0
150.6459059,-29.09135737,10418,Blue Nobby,199.8382,26
150.2219498,-30.8253935,10419,Blue Vale,204.3669,61
152.5299114,-32.35029335,10420,Blueys Beach,2.813,188
153.0554533,-30.33459387,10421,Boambee,12.9306,1667
153.0775672,-30.34540424,10422,Boambee East,3.6617,5242
148.8934749,-34.97622792,10423,Boambolo,90.2078,53
153.3695001,-28.77820329,10424,Boat Harbour (Lismore - NSW),7.1588,142
152.1102614,-32.7843768,10425,Boat Harbour (Port Stephens - NSW),2.1582,958
146.6839335,-32.27191248,10426,Bobadah,1365.1278,11
152.283174,-31.69829374,10427,Bobin,52.2748,157
152.7541237,-31.59169492,10428,Bobs Creek,11.1038,87
152.0021989,-32.77781966,10429,Bobs Farm,38.2632,444
148.9770322,-36.46001683,10430,Bobundara,128.9197,19
149.1558923,-36.6071967,10431,Boco,87.956,0
149.7308362,-32.80092252,10432,Bocoble,26.9466,149
148.536187,-33.10172213,10433,Bocobra,101.1002,53
150.0093647,-36.0933466,10434,Bodalla,253.746,740
149.033576,-32.44215047,10435,Bodangora,155.5703,75
142.1057905,-34.15384943,10436,Boeill Creek,21.7807,102
147.4915378,-32.02595099,10437,Bogan,476.5131,14
147.7709254,-33.09511159,10438,Bogan Gate,445.6347,291
153.5598059,-28.33108547,10439,Bogangar,6.7404,3062
150.1008029,-32.99435562,10440,Bogee,109.837,78
150.1847136,-28.70257964,10441,Boggabilla,1342.6735,989
150.0464492,-30.69188618,10442,Boggabri,858.4853,1129
148.3838176,-35.52309915,10443,Bogong Peaks Wilderness,255.8968,0
149.6322729,-30.40771631,10444,Bohena Creek,197.2885,171
152.5651157,-31.94606659,10445,Bohnock,1.1231,69
148.8466833,-35.92226081,10446,Bolaro,127.8562,38
151.9093074,-29.28623367,10447,Bolivia,290.061,70
150.645469,-34.8396411,10448,Bolong,16.4127,102
151.6112756,-32.99687448,10449,Bolton Point,1.6815,2122
151.5748342,-32.7114439,10450,Bolwarra (NSW),4.4691,991
151.5868159,-32.69242432,10451,Bolwarra Heights,7.2265,2981
152.9699185,-29.76517393,10452,Bom Bom,24.2032,0
150.6036812,-34.84669438,10453,Bomaderry,7.4527,6666
152.2725355,-32.50443087,10454,Bombah Point,54.3511,14
149.2444028,-36.88601082,10455,Bombala,119.7117,1383
149.6546819,-35.4337489,10456,Bombay,159.653,118
149.6052364,-32.57181351,10457,Bombira,7.048,349
